data_rilevazione,versione_sito,citta,data,livello_precedente,livello_nuovo
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
ANCONA,2026-05-29,Livello0,Livello1,2026-05-29,29/05/2026
CATANIA,2026-05-30,Livello1,Livello0,2026-05-29,29/05/2026
GENOVA,2026-05-29,Livello1,Livello2,2026-05-29,29/05/2026
MILANO,2026-05-30,Livello1,Livello0,2026-05-29,29/05/2026
MILANO,2026-05-29,Livello1,Livello0,2026-05-29,29/05/2026
PALERMO,2026-05-30,Livello1,Livello0,2026-05-29,29/05/2026
PALERMO,2026-05-29,Livello1,Livello0,2026-05-29,29/05/2026
TRIESTE,2026-05-30,Livello1,Livello0,2026-05-29,29/05/2026
TRIESTE,2026-05-29,Livello1,Livello0,2026-05-29,29/05/2026
VENEZIA,2026-05-30,Livello1,Livello0,2026-05-29,29/05/2026
VENEZIA,2026-05-29,Livello1,Livello0,2026-05-29,29/05/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
BARI,2026-06-03,Livello0,,2026-06-01,01/06/2026
BARI,2026-06-02,Livello0,,2026-06-01,01/06/2026
BARI,2026-06-01,Livello0,,2026-06-01,01/06/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
CATANIA,2026-06-03,Livello1,Livello0,2026-06-03,03/06/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
BRESCIA,2026-06-17,Livello1,Livello0,2026-06-16,16/06/2026
TORINO,2026-06-17,Livello1,Livello0,2026-06-16,16/06/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
TRIESTE,2026-06-19,Livello1,Livello0,2026-06-18,18/06/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
CAMPOBASSO,2026-06-20,Livello0,Livello1,2026-06-19,19/06/2026
GENOVA,2026-06-20,Livello0,Livello1,2026-06-19,19/06/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
GENOVA,2026-06-24,Livello2,Livello1,2026-06-23,23/06/2026
TRIESTE,2026-06-24,Livello1,Livello2,2026-06-23,23/06/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
REGGIO CALABRIA,2026-06-27,Livello1,Livello2,2026-06-26,26/06/2026
TRIESTE,2026-06-27,Livello1,Livello2,2026-06-26,26/06/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
BOLZANO,2026-07-01,Livello1,Livello3,2026-06-30,30/06/2026
NAPOLI,2026-07-01,Livello1,Livello3,2026-06-30,30/06/2026
TORINO,2026-07-01,Livello1,Livello3,2026-06-30,30/06/2026
VITERBO,2026-07-01,Livello1,Livello3,2026-06-30,30/06/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
MESSINA,2026-07-01,Livello2,Livello1,2026-07-01,01/07/2026
NAPOLI,2026-07-01,Livello3,Livello1,2026-07-01,01/07/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
ANCONA,2026-07-03,Livello1,Livello0,2026-07-02,02/07/2026
BOLZANO,2026-07-02,Livello0,Livello1,2026-07-02,02/07/2026
CAMPOBASSO,2026-07-02,Livello0,Livello1,2026-07-02,02/07/2026
CIVITAVECCHIA,2026-07-02,Livello0,Livello1,2026-07-02,02/07/2026
FIRENZE,2026-07-02,Livello0,Livello1,2026-07-02,02/07/2026
FROSINONE,2026-07-03,Livello0,Livello1,2026-07-02,02/07/2026
FROSINONE,2026-07-02,Livello0,Livello1,2026-07-02,02/07/2026
LATINA,2026-07-03,Livello1,Livello0,2026-07-02,02/07/2026
NAPOLI,2026-07-03,Livello1,Livello0,2026-07-02,02/07/2026
PERUGIA,2026-07-03,Livello1,Livello0,2026-07-02,02/07/2026
TORINO,2026-07-03,Livello0,Livello1,2026-07-02,02/07/2026
VITERBO,2026-07-02,Livello0,Livello1,2026-07-02,02/07/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
ANCONA,2026-07-03,Livello0,Livello1,2026-07-03,03/07/2026
CAGLIARI,2026-07-04,Livello0,Livello1,2026-07-03,03/07/2026
MESSINA,2026-07-03,Livello0,Livello1,2026-07-03,03/07/2026
REGGIO CALABRIA,2026-07-03,Livello0,Livello1,2026-07-03,03/07/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
ANCONA,2026-07-08,Livello2,Livello1,2026-07-07,07/07/2026
CIVITAVECCHIA,2026-07-07,Livello1,Livello0,2026-07-07,07/07/2026
MESSINA,2026-07-08,Livello1,Livello0,2026-07-07,07/07/2026
MESSINA,2026-07-07,Livello1,Livello0,2026-07-07,07/07/2026
REGGIO CALABRIA,2026-07-08,Livello1,Livello0,2026-07-07,07/07/2026
REGGIO CALABRIA,2026-07-07,Livello1,Livello0,2026-07-07,07/07/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
CAGLIARI,2026-07-08,Livello1,Livello0,2026-07-08,08/07/2026
VITERBO,2026-07-08,Livello1,Livello0,2026-07-08,08/07/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
CAGLIARI,2026-07-09,Livello1,Livello0,2026-07-09,09/07/2026
CAMPOBASSO,2026-07-09,Livello0,Livello1,2026-07-09,09/07/2026
FROSINONE,2026-07-10,Livello0,Livello1,2026-07-09,09/07/2026
LATINA,2026-07-10,Livello0,Livello1,2026-07-09,09/07/2026
PALERMO,2026-07-10,Livello1,Livello0,2026-07-09,09/07/2026
ROMA,2026-07-10,Livello1,Livello2,2026-07-09,09/07/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
BOLZANO,2026-07-11,Livello1,Livello0,2026-07-10,10/07/2026
BRESCIA,2026-07-11,Livello1,Livello0,2026-07-10,10/07/2026
BRESCIA,2026-07-10,Livello2,Livello1,2026-07-10,10/07/2026
CAGLIARI,2026-07-11,Livello1,Livello0,2026-07-10,10/07/2026
CAGLIARI,2026-07-10,Livello1,Livello0,2026-07-10,10/07/2026
FROSINONE,2026-07-11,Livello2,Livello1,2026-07-10,10/07/2026
FROSINONE,2026-07-10,Livello1,Livello0,2026-07-10,10/07/2026
LATINA,2026-07-10,Livello1,Livello0,2026-07-10,10/07/2026
RIETI,2026-07-11,Livello2,Livello1,2026-07-10,10/07/2026
ROMA,2026-07-11,Livello2,Livello1,2026-07-10,10/07/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
ANCONA,2026-07-15,Livello2,Livello1,2026-07-14,14/07/2026
BOLZANO,2026-07-15,Livello2,Livello1,2026-07-14,14/07/2026
GENOVA,2026-07-15,Livello2,Livello1,2026-07-14,14/07/2026
PALERMO,2026-07-15,Livello2,Livello1,2026-07-14,14/07/2026
PALERMO,2026-07-14,Livello2,Livello1,2026-07-14,14/07/2026
PESCARA,2026-07-14,Livello2,Livello1,2026-07-14,14/07/2026
TRIESTE,2026-07-15,Livello1,Livello2,2026-07-14,14/07/2026
VERONA,2026-07-14,Livello1,Livello2,2026-07-14,14/07/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
TRIESTE,2026-07-16,Livello1,Livello2,2026-07-15,15/07/2026
VENEZIA,2026-07-16,Livello1,Livello2,2026-07-15,15/07/2026
VERONA,2026-07-16,Livello1,Livello2,2026-07-15,15/07/2026
citta,data,livello_nuovo,livello_precedente,data_rilevazione,versione_sito
ANCONA,2026-07-16,Livello2,Livello1,2026-07-16,16/07/2026
