citta,data,livello,data_estrazione,URL
ANCONA,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16191_ancona_20260914.pdf
ANCONA,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16191_ancona_20260914.pdf
ANCONA,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16191_ancona_20260914.pdf
BARI,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16270_bari_20260914.pdf
BARI,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16270_bari_20260914.pdf
BARI,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16270_bari_20260914.pdf
BOLOGNA,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16140_bologna_20260914.pdf
BOLOGNA,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16140_bologna_20260914.pdf
BOLOGNA,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16140_bologna_20260914.pdf
BOLZANO,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16020_bolzano_20260914.pdf
BOLZANO,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16020_bolzano_20260914.pdf
BOLZANO,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16020_bolzano_20260914.pdf
BRESCIA,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16088_brescia_20260914.pdf
BRESCIA,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16088_brescia_20260914.pdf
BRESCIA,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16088_brescia_20260914.pdf
CAGLIARI,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16560_cagliari_20260914.pdf
CAGLIARI,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16560_cagliari_20260914.pdf
CAGLIARI,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16560_cagliari_20260914.pdf
CAMPOBASSO,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16252_campobasso_20260914.pdf
CAMPOBASSO,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16252_campobasso_20260914.pdf
CAMPOBASSO,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16252_campobasso_20260914.pdf
CATANIA,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16460_catania_20260914.pdf
CATANIA,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16460_catania_20260914.pdf
CATANIA,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16460_catania_20260914.pdf
CIVITAVECCHIA,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16214_civitavecchia_20260914.pdf
CIVITAVECCHIA,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16214_civitavecchia_20260914.pdf
CIVITAVECCHIA,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16214_civitavecchia_20260914.pdf
FIRENZE,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16170_firenze_20260914.pdf
FIRENZE,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16170_firenze_20260914.pdf
FIRENZE,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16170_firenze_20260914.pdf
FROSINONE,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16244_frosinone_20260914.pdf
FROSINONE,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16244_frosinone_20260914.pdf
FROSINONE,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16244_frosinone_20260914.pdf
GENOVA,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16120_genova_20260914.pdf
GENOVA,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16120_genova_20260914.pdf
GENOVA,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16120_genova_20260914.pdf
LATINA,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16243_latina_20260914.pdf
LATINA,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16243_latina_20260914.pdf
LATINA,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16243_latina_20260914.pdf
MESSINA,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16420_messina_20260914.pdf
MESSINA,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16420_messina_20260914.pdf
MESSINA,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16420_messina_20260914.pdf
MILANO,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16080_milano_20260914.pdf
MILANO,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16080_milano_20260914.pdf
MILANO,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16080_milano_20260914.pdf
NAPOLI,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16289_napoli_20260914.pdf
NAPOLI,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16289_napoli_20260914.pdf
NAPOLI,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16289_napoli_20260914.pdf
PALERMO,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16410_palermo_20260914.pdf
PALERMO,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16410_palermo_20260914.pdf
PALERMO,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16410_palermo_20260914.pdf
PERUGIA,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16182_perugia_20260914.pdf
PERUGIA,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16182_perugia_20260914.pdf
PERUGIA,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16182_perugia_20260914.pdf
PESCARA,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16230_pescara_20260914.pdf
PESCARA,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16230_pescara_20260914.pdf
PESCARA,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16230_pescara_20260914.pdf
REGGIO CALABRIA,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16422_reggiocalabria_20260914.pdf
REGGIO CALABRIA,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16422_reggiocalabria_20260914.pdf
REGGIO CALABRIA,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16422_reggiocalabria_20260914.pdf
RIETI,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16221_rieti_20260914.pdf
RIETI,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16221_rieti_20260914.pdf
RIETI,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16221_rieti_20260914.pdf
ROMA,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16239_roma_20260914.pdf
ROMA,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16239_roma_20260914.pdf
ROMA,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16239_roma_20260914.pdf
TORINO,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16059_torino_20260914.pdf
TORINO,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16059_torino_20260914.pdf
TORINO,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16059_torino_20260914.pdf
TRIESTE,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16110_trieste_20260914.pdf
TRIESTE,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16110_trieste_20260914.pdf
TRIESTE,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16110_trieste_20260914.pdf
VENEZIA,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16105_venezia_20260914.pdf
VENEZIA,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16105_venezia_20260914.pdf
VENEZIA,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16105_venezia_20260914.pdf
VERONA,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16090_verona_20260914.pdf
VERONA,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16090_verona_20260914.pdf
VERONA,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16090_verona_20260914.pdf
VITERBO,2026-09-16,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16216_viterbo_20260914.pdf
VITERBO,2026-09-15,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16216_viterbo_20260914.pdf
VITERBO,2026-09-14,Livello0,2026-09-14,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16216_viterbo_20260914.pdf
